PROGRAMA,FECHA_EMISION,MUNICIPIO,FAMILIAS,PARTICIPANTES,BENEFICIOS,BENEFICIO_PROMEDIO,FEMENINO,MASCULINO,OTROS,EDAD_0_4,EDAD_5_13,EDAD_14_17,EDAD_18_24,EDAD_25_44,EDAD_45_64,EDAD_65,INCAPACITADOS,DEAMBULANTES,ESTUDIANTES
PAN,201304,NARANJITO,15771,45556,4633710,293.81,8494,7270,7,1379,2226,1038,1914,3697,3382,2133,2108,7,2632
PAN,201304,PEÑUELAS,12103,37547,3825264,316.06,6620,5473,10,1146,1985,751,1584,2880,2465,1290,1087,10,3021
PAN,201304,LUQUILLO,8085,22998,2353496,291.09,4609,3471,5,731,1256,532,1023,1858,1552,1133,599,4,1462
PAN,201304,LAJAS,11359,33126,3378240,297.41,6265,5089,5,904,1572,757,1308,2652,2353,1813,990,8,2742
PAN,201304,ANGELES,4086,11618,1211892,296.6,2093,1993,0,288,500,289,491,912,942,664,313,1,848
PAN,201304,HORMIGUEROS,5201,13688,1391172,267.48,3019,2182,0,372,655,305,485,1098,1096,1190,419,5,732
PAN,201304,COAMO,16487,48140,4906621,297.61,9187,7289,11,1413,2484,1165,2014,3711,3425,2275,1490,2,2795
PAN,201304,CASTAÑER,1965,6005,633492,322.39,986,979,0,129,229,112,218,424,497,356,115,0,307
PAN,201304,MAUNABO,5674,15984,1630970,287.45,3018,2656,0,469,733,340,699,1276,1317,840,671,0,556
TANF,201304,COMERIO,630,1100,82546,131.03,363,267,0,52,74,25,39,128,194,118,227,0,60
TANF,201304,BARRANQUITAS,849,1331,104079,122.59,521,328,0,54,94,13,51,147,283,207,340,0,83
TANF,201304,COROZAL,1045,1648,119839,114.68,598,447,0,53,123,28,44,188,339,270,398,0,80
TANF,201304,MANATI,1294,2665,193416,149.47,832,462,0,140,264,66,91,243,258,232,280,0,258
TANF,201304,HUMACAO,1566,3529,254324,162.4,999,567,0,255,314,105,135,291,269,197,306,4,308
PAN,201310,LOIZA,11642,34656,3548448,304.8,6767,4874,1,1131,1866,802,1534,2628,2338,1343,696,18,2837
PAN,201310,GUAYNABO,13069,35403,3582255,274.1,7830,5239,0,1103,2294,861,1447,2847,2645,1872,969,39,2657
TANF,201310,LAS PIEDRAS,1023,2022,149876,146.51,654,369,0,122,200,43,72,235,215,136,282,0,143
TANF,201310,NARANJITO,658,1147,81831,124.36,383,275,0,37,88,25,20,146,205,137,251,0,56
TANF,201310,VEGA BAJA,1073,2109,143609,133.84,628,445,0,102,214,57,65,171,222,242,261,1,252
TANF,201310,OROCOVIS,681,1255,92159,135.33,381,300,0,51,91,31,38,118,180,172,227,0,76
TANF,201310,MOCA,785,1301,93880,119.59,445,340,0,51,85,24,37,180,269,139,356,0,86
TANF,201310,LARES,886,1664,128829,145.41,544,342,0,68,135,35,49,176,208,215,271,1,148
TANF,201310,FAJARDO,926,2134,151759,163.89,581,345,0,181,182,37,97,166,135,128,173,0,95
TANF,201310,PATILLAS,542,1057,73485,135.58,317,225,0,46,84,26,36,110,129,111,169,0,25
TANF,201310,AGUADA,685,1260,88989,129.91,406,279,0,43,105,20,28,150,168,171,227,0,74
TANF,201310,GUAYANILLA,470,781,55462,118,290,180,0,27,59,22,17,89,115,141,156,0,78
TANF,201310,HORMIGUEROS,181,301,19744,109.08,104,77,0,12,24,4,14,30,49,48,65,0,19
TANF,201311,PONCE,3697,6778,457740,123.81,2232,1465,0,325,525,123,183,675,1016,850,1237,28,501
TANF,201311,NARANJITO,632,1087,77560,122.72,370,262,0,36,81,24,21,135,195,140,242,0,55
TANF,201311,CAYEY,972,1883,131462,135.25,596,376,0,92,168,44,55,186,249,178,304,0,20
TANF,201311,SANTA ISABEL,648,1310,92366,142.54,410,238,0,103,106,38,58,131,123,89,155,1,19
TANF,201311,CABO ROJO,571,990,67682,118.53,320,251,0,22,72,30,25,94,159,169,193,0,101
TANF,201311,ARROYO,649,1446,102950,158.63,387,262,0,87,134,39,52,140,121,76,154,0,23
TANF,201311,TOA ALTA,1058,2045,143791,135.91,639,419,0,67,181,69,53,212,254,222,319,0,199
PAN,201401,RIO GRANDE,19670,55292,6039616,307.05,11284,8380,6,1623,3040,1359,2228,4256,3951,3213,1796,10,2846
PAN,201401,MAUNABO,5509,14960,1632038,296.25,2948,2558,3,436,694,296,677,1231,1314,861,655,0,463
PAN,201401,YABUCOA,17505,45713,5009567,286.18,9629,7870,6,1284,2340,1022,1932,3915,4392,2620,3124,6,3493
PAN,201401,AGUAS BUENAS,10804,28962,3198674,296.06,6173,4631,0,892,1712,735,1093,2361,2259,1750,1146,18,2561
PAN,201401,JUANA DIAZ,19156,57562,6237900,325.64,10761,8390,5,1615,2769,1310,2437,4166,4104,2754,1334,5,3479
TANF,201401,SALINAS,714,1575,114819,160.81,440,274,0,86,150,49,49,136,122,122,145,0,8
TANF,201401,AGUADA,674,1221,85150,126.34,402,272,0,43,102,19,26,142,168,174,224,0,79
TANF,201401,GUAYAMA,1285,2930,201256,156.62,797,488,0,157,279,75,92,264,258,160,323,0,50
TANF,201401,BAYAMON,2401,4551,310829,129.46,1498,903,0,258,371,122,123,410,524,593,607,9,434
TANF,201401,CIALES,482,884,67653,140.36,274,208,0,45,69,14,39,98,106,111,153,0,58
TANF,201401,TRUJILLO ALTO,1025,1945,135373,132.07,612,413,0,83,160,42,47,199,260,234,315,5,147
TANF,201401,RIO PIEDRAS 4,1155,2368,162396,140.6,713,442,0,95,217,55,46,222,309,211,349,9,240
TANF,201401,ARECIBO,2321,4428,318082,137.05,1474,847,0,215,376,119,140,422,556,493,633,10,417
TANF,201401,SAN LORENZO,902,1393,100352,111.25,551,351,0,37,113,37,41,176,313,185,372,3,121
